ltable_ID,rtable_ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,lRating,rRating
a3122,b3125,Half-Minute Hero: Super Mega Neo Climax,Opus|Marvelous Entertainment,Microsoft Game Studios|XSEED Games,PC|Xbox,Role-Playing|RTS|Action RPG|Shoot 'em up|Action,2011-06-29,7.6,7.7
a3123,b3124,Half-Minute Hero,Opus|Marvelous Entertainment,Xseed Games|Rising Star Games|Marvelous|NA: XSEED Games|EU: Rising Star Games,PlayStation,Real-Time|Action|Role-Playing,2009-10-13,7.9,7.6
a3124,b3129,Halo 2,Hired Gun|Bungie Studios|Microsoft Game Studios|Bungie Software,Microsoft Game Studios,PC|Xbox,First-Person|Action|Shooter|3D,2004-11-09,8.9,8.2
a3125,b3132,Halo 3: ODST,Microsoft Game Studios|Bungie Software,Microsoft Game Studios|Bungie,Xbox,First-Person|Action|Shooter|3D,2009-09-22,8.1,7.6
a3126,b3131,Halo 3,Bungie Software|Bungie,Microsoft|Microsoft Game Studios,Xbox,First-Person|Action|Shooter|3D,2007-09-25,8.8,8.3
a3127,b3133,Halo 4,343 Industries|Certain Affinity,Microsoft Game Studios|Microsoft Studios,Xbox,First-Person|Action|Shooter|3D,2012-11-06,8.6,7.9
a3128,b3134,Halo 5: Guardians,343 Industries,Microsoft Game Studios|Microsoft Studios,Xbox,First-Person|Action|Shooter|3D,2015-10-27,7.6,7.7
a3129,b3135,Halo: Combat Evolved,Gearbox Software|Bungie Software|Westlake Interactive|343 Industries|MacSoft Games|Bungie,Microsoft Game Studios|MacSoft,PC|Xbox|Macintosh,First-Person|Action|Shooter|3D,2001-11-15,9.1,8.4
a313,b388,Ape Escape 2,SCE Japan Studio|Japan Studio,Sony Interactive Entertainment|Ubisoft|SCEI|NA: Ubisoft|Sony Computer Entertainment|SCEE,PlayStation,Action|Platformer|3D|Platform,2003-06-30,8.4,8.2
a3130,b3137,Halo: Reach,343 Industries|Bungie|Bungie Software|Certain Affinity,Microsoft Game Studios,Xbox,First-Person|Action|Shooter|3D,2010-09-14,8.9,8.3
a3131,b3138,Halo: Spartan Assault,343 Industries|Vanguard|Vanguard Games|Vanguard Entertainment,Microsoft Game Studios|Microsoft Studios,Other|PC|Xbox|Mobile,Top-Down|2D|Action|Fixed-Screen|Shooter,2013-07-18,6.7,5.9
a3132,b3139,Halo: Spartan Strike,343 Industries|Vanguard Games,Microsoft Game Studios|Microsoft Studios,PC|Mobile,2D|Multidirectional|Action|Fixed-Screen|Shooter,2015-04-16,5.7,6.7
a3133,b3142,Halo Wars 2,343 Industries|Creative Assembly,Microsoft Game Studios|THQ Nordic|Microsoft Studios,PC|Xbox,Real-Time|Strategy,2017-02-17,7.1,6.8
a3134,b3141,Halo Wars,Robot Entertainment|Microsoft Game Studios|Ensemble Studios,Microsoft|Microsoft Game Studios,PC|Xbox,Real-Time|Strategy,2009-03-03,7.7,7.1
a3137,b3148,Hamtaro: Ham-Ham Games,AlphaDream|Alphadream Corporation,Nintendo,Nintendo,Sports,2004-07-27,7.6,7.0
a3139,b3152,Hand of Fate,Defiant Development,Defiant Development,PlayStation|Linux|Macintosh|PC|Xbox,Role-Playing|Card Game|Trivia/Board Game,2014-07-07,7.5,7.3
a314,b389,Ape Escape 3,SCE Japan Studio|Japan Studio,SCEA|SCEI|SCE Korea|Sony Computer Entertainment|SCEE,PlayStation,Action|Platformer|3D|Platform,2006-01-17,8.6,8.1
a3145,b3155,Hard Corps: Uprising,Arc System Works,Konami,PlayStation|Xbox,Action|Platformer|2D|Run and gun,2011-02-16,7.9,7.6
