Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
Rayman 2: Revolution,Ubisoft,Ubisoft,PlayStation 2,Platform,30 January 2001,6.6
Rayman 2: The Great Escape,Ubisoft,Ubisoft,Dreamcast|Game Boy Color|Nintendo 64|PC|PlayStation|PlayStation 2,,31 October 1999,7.7
Rayman 3D,DC Studios,Ubisoft,Nintendo 3DS,Third-Person|Action|Adventure|Platform,27 March 2011,6.4
Rayman 3 HD,Ubisoft,Ubisoft,PlayStation 3|Xbox 360|Xbox One,Adventure,23 March 2012,6.6
Rayman 3 (Handheld),Ludi Factory,Ubisoft,Game Boy Advance,Scrolling|Adventure|Platform,02 March 2003,7.5
Rayman 3: Hoodlum Havoc,Ubisoft Shanghai|Ubisoft|Gameloft,Ubisoft|Gameloft|Feral Interactive,Nintendo GameCube|PC|PlayStation 2|Xbox,Platform,02 March 2003,7.4
Rayman Advance,Digital Eclipse Software,Ubisoft,Game Boy Advance,Action|Platform,10 June 2001,7.5
Rayman Fiesta Run,,Ubisoft,Android|iOS|Mobile,Platform,07 November 2013,7.7
Rayman Jungle Run,Pastagames,Ubisoft,Android|iOS|Mobile,Platform,20 September 2012,7.5
Rayman Legends,Ubisoft Montpellier,Ubisoft,Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii|Wii U|Xbox 360|Xbox One,Platform,03 September 2013,8.8
Rayman M,Ubisoft,Ubisoft,Nintendo GameCube|PC|PlayStation 2,Party,24 September 2002,5.9
Rayman Origins,Ubisoft Montpellier,Ubisoft,Nintendo 3DS|PC|PlayStation 3|PlayStation Vita|Wii|Xbox 360|Xbox One,Platform,15 November 2011,8.4
Rayman Raving Rabbids,Ubisoft,Ubisoft,Nintendo DS|PC|PlayStation 2|Wii|Xbox 360,Party,14 November 2006,6.3
Rayman Raving Rabbids 2,Ubisoft Paris,Ubisoft,Nintendo DS|PC|Wii,Party,15 November 2007,6.3
Rayman Raving Rabbids: TV Party,Ubisoft Paris,Ubisoft,Wii,Party,18 November 2008,5.6
ReCore,Comcept|Armature Studio,Microsoft Studios,PC|Xbox One,Third-Person|Action|Adventure,13 September 2016,7.4
Re-Volt,Probe|Acclaim Cheltenham,Acclaim Entertainment|Throwback Entertainment|We Go Interactive,Dreamcast|Nintendo 64|PC|PlayStation,Racing,31 July 1999,7.5
Reach for the Sun,Filament Games,,PC,Simulation,November 2013,7.5
Ready 2 Rumble Boxing (Console),Midway,Midway,Dreamcast|Nintendo 64|PlayStation,Sports,09 September 1999,6.2
Ready 2 Rumble Boxing: Round 2,Midway,Midway,Dreamcast|PlayStation|PlayStation 2,Sports|Fighting,23 October 2000,6.4
Real Boxing,Vivid Games,Vivid Games,PC|PlayStation Vita,Third-Person|Fighting|Sports,November 2012,5.0
Real Horror Stories: Ultimate Edition,GameORE,Strategy First,PC,First-Person|Point-and-Click|Adventure|Survival Horror,01 April 2014,2.0
Reality Fighters,Novarama,Sony Computer Entertainment,PlayStation Vita,Fighting,13 March 2012,6.2
Really Big Sky,Boss Baddie,,PC,,06 October 2011,6.1
Realm of the Mad God,Wild Shadow Studios|Spry Fox,Kabam,PC,Massively Multiplayer|Scrolling|Shooter,January 2010,7.5
Realms of the Haunting,Gremlin Interactive,Gremlin Interactive|Interplay|KISS|Funbox Media,PC,First-Person|Point-and-Click|Action|Adventure|Shooter|Survival|Survival Horror,31 December 1996,7.5
Reassembly,Anisoptera Games,Indie Voyage,PC,Action|Strategy,19 February 2015,8.0
Rebel Galaxy,Double Damage Games,Double Damage Games,PC|PlayStation 4,Third-Person|Real-Time|Action|Adventure|Flight Combat|Open World|Role-Playing,20 October 2015,6.2
Rebuild 3: Gangs of Deadsville,Northway Games|Sarah Northway,Northway Games,PC,Simulation|Strategy,29 May 2015,6.8
Rec Room,Against Gravity,Against Gravity,PC,Party|Sports,01 June 2016,10.0
Receiver,Wolfire Games,Wolfire Games,PC,First-Person|Shooter|Simulation,18 June 2012,5.7
Recettear: An Item Shop's Tale,EasyGameStation,Carpe Fulgur,PC,Role-Playing|Simulation,10 September 2010,7.5
Record of Agarest War,Idea Factory,Compile Heart|Red Entertainment|Ghostlight|Aksys Games,PC|PlayStation 3|Xbox 360,Role-Playing|Tactical,27 April 2010,6.8
Record of Agarest War 2,Idea Factory|Red Entertainment,JP: Compile Heart|NA: Aksys Games|EU: Ghostlight,PC|PlayStation 3,Tactical|Role-Playing,26 June 2012,5.8
Record of Agarest War Zero,Compile Heart,Idea Factory|Aksys Games|Ghostlight,PC|PlayStation 3|Xbox 360,,14 June 2011,6.0
Record of Lodoss War,Neverland Co.,Conspiracy Entertainment|ESP Software,Dreamcast,Role-Playing|Action,14 March 2001,7.7
Red Dead Redemption,Rockstar San Diego|Rockstar North,Rockstar Games,PlayStation 3|PlayStation Now|Xbox 360|Xbox One,Third-Person|Action|Adventure|Open World|Shooter,18 May 2010,9.0
Red Dead Redemption: Game of the Year Edition,Rockstar San Diego,Rockstar Games,PlayStation 3|Xbox 360|Xbox One,Third-Person|Action|Adventure|Compilation|Open World,10 October 2011,9.2
Red Dead Redemption: Undead Nightmare DLC,Rockstar San Diego|Rockstar North,Rockstar Games,PlayStation 3|Xbox 360|Xbox One,Third-Person|Action|Adventure|Open World,26 October 2010,7.9
Red Dead Revolver,Rockstar San Diego,NA: Rockstar Games|JP: Capcom,PlayStation 2|Xbox,Third-person action adventure|Western,30 May 2004,7.3
Red Faction,Volition|Inc.,THQ,N-Gage|PC|PlayStation 2|PlayStation 4,First-Person Shooter,21 May 2001,7.3
Red Faction: Armageddon,Volition,THQ|Syfy Games,PC|PlayStation 3|Xbox 360,Third-Person|Shooter,07 June 2011,6.9
Red Faction: Armageddon - Path to War DLC,Volition,THQ|Syfy Games,PC|PlayStation 3|Xbox 360,Third-Person|Shooter,02 August 2011,5.6
Red Faction: Guerrilla,Volition|Reactor Zero,THQ,PC|PlayStation 3|Xbox 360,Third-Person|Sandbox|Shooter,02 June 2009,7.6
Red Faction: Guerrilla - Demons of the Badlands DLC,Volition|Reactor Zero,THQ,PC|Xbox 360,Third-Person|Sandbox|Shooter,13 August 2009,6.4
Red Faction II,Volition|Outrage Entertainment (PC),THQ,Nintendo GameCube|PC|PlayStation 2|Xbox,First-person shooter,15 October 2002,6.2
Red Orchestra 2: Heroes of Stalingrad,Tripwire Interactive,Tripwire Interactive|1C Company,PC,First-Person|Shooter,13 September 2011,6.8
Red Orchestra: Ostfront 41-45,Tripwire Interactive,Bold Games,PC,First-Person|Shooter|Tactical,14 March 2006,6.0
Red Steel,Ubisoft Paris,Ubisoft,Wii,First-person shooter,19 November 2006,5.6
Red Steel 2,Ubisoft Paris,Ubisoft,Wii,First person shooter|beat-em-up,23 March 2010,7.6
