Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
300: March to Glory,Collision Studios,Warner Bros. Interactive Entertainment,PSP,Beat-'Em-Up|Action|2D,27 Feb 2007,7.1
3D Baseball,Crystal Dynamics,BMG Interactive Entertainment|Crystal Dynamics,PlayStation|Saturn,Team-Based|Baseball|Simulation|Sports,31 Oct 1996,6.9
3D Dot Game Heroes,Silicon Studio,ATLUS|SCEI|SouthPeak Games|From Software,PlayStation 3,Role-Playing|Action,11 May 2010,8.1
3D Lemmings,Clockwork Games,Psygnosis|SCE Australia|SCEI|Imagineer,PC|PlayStation|Saturn,Action|Puzzle,31 Jul 1995,6.9
3D Ultra Mini Golf (1997),Sierra Entertainment,Sierra Entertainment,PC,Sports|Arcade|Golf,31 May 1997,6.1
3D Ultra MiniGolf Adventures,Wanako Studios,Activision|Sierra Online,PC|Xbox 360,Arcade|Golf|Sports,18 Apr 2007,6.5
3DO Games: Decathlon,The Human Software Co.,3DO,PC,Sports,31 Oct 1996,5.3
3Xtreme,989 Sports,989 Sports,PlayStation,Driving/Racing|Arcade,31 Mar 1999,5.7
4 Wheel Thunder,Kalisto,Midway,Dreamcast,Driving/Racing|Arcade,4 May 2000,7.2
40 Winks,Eurocom Entertainment Software,GT Interactive,PlayStation,Action|3D|Platformer,14 Nov 1999,5.9
4X4 EVO 2,Terminal Reality,VU Games|Frogster Interactive|Gathering|Bam Entertainment,GameCube|PC|PlayStation 2|Xbox,Driving/Racing|Simulation,30 Oct 2001,6.7
4x4 Evolution,Terminal Reality,Gathering,Dreamcast|Macintosh|PC|PlayStation 2,Simulation|Driving/Racing,29 Oct 2000,7.2
50 Cent: Blood on the Sand,Swordfish Studios,Bethesda Softworks|THQ,PlayStation 3|Xbox 360,Shooter|Third-Person|3D|Action,24 Feb 2009,6.7
50 Cent: Bulletproof,Genuine Games|High Voltage Software,VU Games|Vivendi Games,PlayStation 2|PSP|Xbox,Adventure|Action,17 Nov 2005,5.8
688(I) Hunter/Killer,Sonalysts,Electronic Arts,PC,Simulation,30 Jun 1997,7.8
7 Days to Die,The Fun Pimps Entertainment LLC,The Fun Pimps Entertainment LLC|Telltale Games,Linux|Macintosh|PC|PlayStation 4|Xbox One,Shooter|Action|3D|VR|First-Person,13 Dec 2013,6.6
7 Wonders of the Ancient World,Hot Lava Games|MumboJumbo,MumboJumbo|Funsta,DS|iOS (iPhone/iPad)|PC|PlayStation 2|PSP,Puzzle,2 Feb 2007,6.7
7th Dragon III Code: VFD,Sega,Sega|Deep Silver,3DS,Role-Playing,12 Jul 2016,10.0
7th Legion,Epic Games,MicroProse|Night Dive Studios,PC,Real-Time|Strategy,30 Sep 1997,6.3
80 Days (2005),Frogwares,Focus Home Interactive|Matrix Games|Peter Games,PC,Adventure|3D|Third-Person,12 Dec 2005,6.2
9: The Last Resort,Tribeca Interactive,GT Interactive,PC,Adventure|First-Person|3D,30 Sep 1996,6.9
911 Fire Rescue,Sunstorm Interactive,Infogrames,PC,Action,24 Jun 2001,5.6
A-10 Cuba!,Match Software,Activision,PC,Flight|Simulation,30 Nov 1996,7.6
A Boy and His Blob,Majesco Games|Abstraction Games|WayForward,Majesco Games,Android|iOS (iPhone/iPad)|Linux|Macintosh|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii|Xbox One,Platformer|2D|Action,13 Oct 2009,7.6
A Collection of Activision Classic Games for the Atari 2600,Gray Matter,Activision,PlayStation,Compilation,30 Sep 1998,6.5
A Fork in the Tale,Advance Reality Interactive,AnyRiver Entertainment,PC,Adventure,28 Feb 1997,6.2
A Hat in Time,Gears for Breakfast,Gears for Breakfast|Humble Bundle,Macintosh|PC|PlayStation 4|Xbox One,Platformer|3D|Action,5 Oct 2017,8.7
A Kingdom for Keflings,NinjaBee,NinjaBee|Microsoft Game Studios,PC|Xbox 360,Strategy,19 Nov 2008,8.0
A New Beginning,Daedalic Entertainment,Daedalic Entertainment|Lace Mamba Global,iOS (iPhone/iPad)|Macintosh|PC,Adventure,11 Dec 2012,6.6
A Quiet Weekend in Capri,Silvio & Gey Savarese,Got Game Entertainment|Adventures Planet SRL,PC,Adventure|Third-Person|3D,17 Mar 2004,5.8
A.R.E.S. Extinction Agenda EX,Extend Studio|ORiGO GAMES,ORiGO GAMES|Aksys Games,PC|Xbox 360,2D|Action|Platformer,3 Oct 2013,4.5
A Valley Without Wind,Arcen Games|LLC,Arcen Games|LLC,Linux|Macintosh|PC,Action|Adventure,24 Apr 2012,5.6
A Vampyre Story,Autumn Moon,Virtual Programming|Ascaron Entertainment GmbH|Strategy First|Crimson Cow|Dreamcatcher|GamersGate,Macintosh|PC,Adventure,May 2008,7.6
A Witch's Tale,Hit Maker|Nippon Ichi Software,NIS America|Nippon Ichi Software,DS,Role-Playing,13 Oct 2009,6.9
A World of Keflings,NinjaBee,NinjaBee|Microsoft Game Studios,PC|Wii U|Xbox 360,Strategy,22 Dec 2010,7.9
Aaron vs. Ruth,Mindscape Inc.,Mindscape Inc.,PC,Simulation|Sports|Team-Based|Baseball,30 Jun 1997,6.6
Aaru's Awakening,Lumenox ehf,Lumenox ehf,Linux|Macintosh|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Xbox One,2D|Action|Platformer,23 Feb 2015,1.8
1001 Spikes,Nicalis,Nicalis|Pikii Godo Kaisha,3DS|Linux|Macintosh|Nintendo Switch|PC|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Action|Platformer|2D,3 Jun 2014,7.3
ABC Monday Night Football '98,Overtime Sports,ABC Interactive,PC,Football (American)|Simulation|Sports|Team-Based,30 Sep 1997,5.6
ABC Monday Night Football,Overtime Sports,Overtime Sports,PC,Team-Based|Football (American)|Simulation|Sports,30 Sep 1996,6.0
Abomination,Hothouse Creations,Eidos Interactive,PC,Real-Time|Strategy,31 Oct 1999,6.7
Absolver,Sloclap,Devolver Digital,Linux|Macintosh|PC|PlayStation 4,Role-Playing|Action,29 Aug 2017,7.7
Abuse,Crack dot Com|EXAKT Entertainment,Alive|EXAKT Entertainment|Electronic Arts|Attain|Bungie Software|Origin,Amiga|iOS (iPhone/iPad)|Linux|Macintosh|PC,Action,29 Feb 1996,8.0
ABZU,Giant Squid,505 Games,PC|PlayStation 4|Xbox One,Third-Person|3D|Adventure,2 Aug 2016,7.1
AC/DC Live: Rock Band Track Pack,Harmonix Music Systems,MTV Games|Electronic Arts,PlayStation 2|PlayStation 3|Wii|Xbox 360,Music/Rhythm,2 Nov 2008,7.4
Academy of Champions: Soccer,Ubisoft Vancouver,Ubisoft,Wii,Arcade|Soccer|Sports|Team-Based,3 Nov 2009,6.1
Acceleration of SUGURI X-Edition,ORANGE_JUICE|Rockin' Android,Rockin' Android|ORANGE_JUICE|Sony Online Entertainment,PC|PlayStation 3,Action|2D|Fighting,15 Feb 2011,7.4
Ace Attorney Investigations: Miles Edgeworth,Capcom,Capcom,Android|DS|iOS (iPhone/iPad),Adventure,16 Feb 2010,8.5
Ace Combat 04: Shattered Skies,Project Aces,Namco|SCEE,PlayStation 2,Flight|Simulation,1 Nov 2001,8.8
Ace Combat 2,Namco,Namco|SCEE,PlayStation,Flight|Simulation,31 Jul 1997,8.2
Ace Combat 3: Electrosphere,Namco,Namco|SCEE|SCEI,PlayStation,Simulation|Flight,2 Mar 2000,7.9
Ace Combat 5: The Unsung War,Project Aces,SCEE|Namco|SCEI,PlayStation 2,Flight|Simulation,25 Oct 2004,9.0
Ace Combat 6: Fires of Liberation,Project Aces,Namco Bandai Games|Namco|Atari SA,Xbox 360,Simulation|Flight,23 Oct 2007,8.4
Ace Combat Advance,Human Soft,Namco|Atari SA,Game Boy Advance,Flight|Simulation,23 Feb 2005,6.1
Ace Combat: Assault Horizon,Project Aces,Namco Bandai Games|Bandai Namco Games,PlayStation 3|Xbox 360,Simulation|Flight,11 Oct 2011,7.1
Ace Combat Infinity,Project Aces,Bandai Namco Games|Namco Bandai Games,PlayStation 3,Simulation|Flight,31 Dec 2014,7.0
Ace Combat: Joint Assault,Project Aces,Namco Bandai Games|Bandai Namco Games,PSP,Flight|Simulation,31 Aug 2010,8.2
Ace Combat X: Skies of Deception,Project Aces,SCEE|Bandai Namco Games|SCE Australia|SCE Korea|Namco Bandai Games,PSP,Simulation|Flight,23 Oct 2006,8.7
Ace Combat Zero: The Belkan War,Project Aces,SCE Australia|SCEI|Namco|SCEE,PlayStation 2,Flight|Simulation,25 Apr 2006,8.7
Ace Ventura,7th Level,Bomico Entertainment Software|7th Level,PC,Adventure,31 Oct 1996,7.0
Aces of the Galaxy,Artech Studios,Sierra Online|Activision|Sierra Entertainment,PC|Xbox 360,Action|Shooter|Third-Person|3D,4 Jun 2008,7.4
Act of War: Direct Action,Eugen Systems,Atari SA|GamersGate|Sold Out Software|Mastertronic,PC,Real-Time|Strategy,15 Mar 2005,8.6
Action Bass,Vingt-et-un Systems,Take-Two Interactive|Syscom|GungHo,PlayStation,Hunting/Fishing|Sports,14 Jul 2000,5.1
Action Henk,RageSquid,RageSquid|Curve Digital Games,Linux|Macintosh|PC|PlayStation 3|PlayStation 4|Xbox One,Platformer|2D|Action,8 Jul 2014,5.6
Action Man: Search for Base X,Natsume,THQ,Game Boy Color,Action,6 Feb 2001,5.9
Activision Anthology,Aspyr|Contraband Entertainment,Aspyr|Activision,Game Boy Advance|PlayStation 2,Compilation,19 Nov 2002,7.6
Activision Hits Remixed,Digital Eclipse,Activision,PSP,Compilation,8 Nov 2006,7.1
ActRaiser,Quintet,Enix America|Inc.|Nintendo|Square Enix|Enix Corporation,Super Nintendo,3D|Action|Adventure|Open-World,November 1991,8.4
Addiction Pinball,Team 17,MicroProse|Team 17,PC,Pinball,30 Apr 1998,8.2
Adidas Power Soccer 98,Shen,Psygnosis,PlayStation,Sports|Team-Based|Simulation|Soccer,30 Jun 1998,4.8
Adidas Power Soccer,Psygnosis,Psygnosis,PlayStation,Team-Based|Simulation|Soccer|Sports,31 Aug 1996,5.7
ADR1FT,Three One Zero,505 Games,PC|PlayStation 4|Xbox One,Action|VR|Adventure|3D|Survival,28 Mar 2016,5.8
Adrenalin Misfits,Konami,Konami,Xbox 360,Snowboarding/Skiing|Sports,4 Nov 2010,4.9
Advance Guardian Heroes,Treasure,Treasure|Ubisoft,Game Boy Advance,Role-Playing|Action,14 Sep 2004,7.6
Advance Wars 2: Black Hole Rising,Intelligent Systems,Nintendo,Game Boy Advance,Turn-Based|Strategy,24 Jun 2003,9.0
Advance Wars: Days of Ruin,Intelligent Systems,Nintendo,DS,Strategy|Turn-Based,21 Jan 2008,8.6
Advance Wars: Dual Strike,Intelligent Systems,Nintendo,DS,Strategy|Turn-Based,22 Aug 2005,9.1
Advance Wars,Intelligent Systems,Nintendo,Game Boy Advance,Turn-Based|Strategy,9 Sep 2001,9.0
Advanced Battlegrounds: The Future of Combat,Techland,DreamCatcher Interactive|Deep Silver,PC,Action|First-Person|Shooter|3D,27 Dec 2004,7.1
Advanced Dungeons & Dragons: DeathKeep,Lion Entertainment|Inc.,SSI,3DO|PC,Role-Playing,1995,6.3
Advent Rising,GlyphX Games,Majesco Games|THQ,PC|Xbox,Adventure|Action,31 May 2005,7.6
Adventure Inlay,GameHouse,MSN Games|MumboJumbo,PC,Puzzle,23 Dec 2004,7.9
Adventure Island,Hudson|Flying Tiger Development|West One,Hudson|Hudson Soft|Mattel|Konami,Game Boy|Game Boy Advance|Mobile|MSX|NES,Action|2D|Platformer,September 1988,7.6
Adventure Pinball: Forgotten Island,Digital Extremes,Electronic Arts,PC,Pinball,21 Mar 2001,7.1
