Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
Dark Vengeance,Reality Bytes,GT Interactive,PC,Action,30 Nov 1998,5.8
Dark Void Zero,Other Ocean Interactive,Capcom,DS|iOS (iPhone/iPad)|PC,Platformer|Action|2D,18 Jan 2010,7.5
Dark Void,Airtight Games,Capcom,PC|PlayStation 3|Xbox 360,Action,19 Jan 2010,6.4
DARK,Kalypso,Kalypso,PC|Xbox 360,Adventure|Action,3 Jul 2013,4.4
Darkened Skye,Boston Animation,Simon & Schuster|TDK Mediactive|Oxygen Interactive,GameCube|PC,Adventure|Action,27 Jan 2002,6.4
Darkest Dungeon,Red Hook Studios|Merge Games,Red Hook Studios|Merge Games|Kadokawa Shoten,iOS (iPhone/iPad)|Linux|Macintosh|Nintendo Switch|PC|PlayStation 4|PlayStation Vita|Xbox One,Role-Playing,3 Feb 2015,7.7
Darkest of Days,8Monkey Labs,Virtual Programming|Phantom EFX|Inc.|The Games Company|Valcon Games,Macintosh|PC|Xbox 360,3D|Action|First-Person|Shooter,7 Sep 2009,6.0
Darklight Conflict,Rage Software,Electronic Arts|Tec Toy,PC|PlayStation|Saturn,Simulation,31 Mar 1997,6.8
Darkness Within: In Pursuit of Loath Nolder,Zoetrope Interactive,Avanquest Software|Iceberg Interactive|Lighthouse Interactive,PC,Adventure,6 Nov 2007,6.2
Darksiders II,Vigil Games|Gunfire Games|Kaiko,THQ|Nordic Games Publishing|Spike Chunsoft|THQ Nordic,PC|PlayStation 3|PlayStation 4|Wii U|Xbox 360|Xbox One,Adventure|Action,13 Aug 2012,8.2
Darksiders,Vigil Games|Kaiko|Nordic Games Publishing,THQ|Nordic Games Publishing|Konami|THQ Nordic,PC|PlayStation 3|PlayStation 4|Wii U|Xbox 360|Xbox One,Action|Adventure,5 Jan 2010,8.4
DarkSpace,Palestar,Got Game Entertainment,PC,Simulation,20 Dec 2001,7.6
Darkspore,Maxis,Electronic Arts,PC,Role-Playing|Action,25 Apr 2011,6.8
Darkstalkers 3,Capcom,Capcom|Virgin Interactive,Arcade Games|PlayStation|Saturn,2D|Action|Fighting,30 Nov 1998,8.4
Darkstalkers Chronicle: The Chaos Tower,Capcom,Capcom,PSP,2D|Fighting|Action,24 Mar 2005,8.1
Darkstalkers Resurrection,Iron Galaxy Studios,Capcom,PlayStation 3|Xbox 360,Compilation,12 Mar 2013,7.4
DarkStar One,Ascaron Entertainment GmbH|Gaming Minds Studios,cdv Software|Ubisoft|Strategy First|Kalypso,PC|Xbox 360,Simulation,14 Aug 2006,8.0
Darkstone,Anuman Interactive|Microids|Delphine Software International,Microids|Electronic Arts|Gravity Corporation|Gathering|Take-Two Interactive,Android|iOS (iPhone/iPad)|PC|PlayStation,Role-Playing|Action,26 Jul 1999,7.6
Darkwatch,High Moon Studios,Ubisoft|Capcom,PlayStation 2|Xbox,Action|First-Person|Shooter|3D,16 Aug 2005,8.2
Darwinia+,Introversion,Introversion|Ambrosia|Cinemaware,Linux|Macintosh|PC|Xbox 360,Strategy|Real-Time,18 Mar 2005,8.2
Datura,Plastic,SCEE|SCE Australia|SCEI|SCEA,PlayStation 3,Miscellaneous,8 May 2012,6.1
Dave Mirra BMX Challenge,Left Field Productions,Oxygen Interactive|Crave|505 Games,PSP|Wii,Arcade|Driving/Racing,2 Nov 2006,4.6
Dave Mirra Freestyle BMX 2,Full Fat|Z-Axis|Ltd.,Acclaim|Liquid Games,Game Boy Advance|GameCube|PlayStation 2|Xbox,Sports,27 Aug 2001,7.2
Dave Mirra Freestyle BMX 3,Full Fat,Acclaim,Game Boy Advance,Sports,26 Nov 2002,7.8
Dave Mirra Freestyle BMX: Maximum Remix,Z-Axis|Ltd.,Acclaim,PlayStation,Sports,21 May 2001,7.3
Dave Mirra Freestyle BMX,Z-Axis|Ltd.|Neon Studios,Acclaim|Acclaim Japan,Dreamcast|Game Boy Color|PC|PlayStation,Sports,26 Sep 2000,7.3
David Beckham Soccer,Yoyo Entertainment|Rage Software,Majesco Games|Rage Software,Game Boy Advance|Game Boy Color|PlayStation|PlayStation 2,Soccer|Sports|Team-Based|Simulation,June 2002,5.2
Dawn of Discovery: Venice,Related Designs,Ubisoft,PC,Simulation,26 Feb 2010,8.1
Dawn of Discovery,HandyGames|Keen Games|Ubisoft|Blue Byte|Related Designs,HandyGames|Ubisoft|E-Frontier,BlackBerry|DS|iOS (iPhone/iPad)|PC|Wii,Real-Time|Strategy,17 Jun 2009,8.4
Dawn of Magic,1C|Sky Fallen,1C|Atari SA|Deep Silver,PC,Action|Role-Playing,23 Oct 2007,4.6
Dawn of Mana,Square Enix,Square Enix,PlayStation 2,Action|Role-Playing,24 May 2007,6.7
Dawnspire: Prelude,Silent Grove Studios,GamersGate|DreamCatcher Interactive|Silent Grove Studios,PC,Role-Playing|Action,3 Apr 2007,6.9
Daxter,Ready at Dawn,SCEA|SCEE|SCE Australia|SCEI,PSP,Platformer|Action|3D,14 Mar 2006,8.8
Day of Defeat: Source,Valve Software,Valve Software|CyberFront|EA Games|Electronic Arts,Linux|Macintosh|PC,Action|First-Person|Shooter|Tactical,26 Sep 2005,8.6
Day of Defeat,Valve Software,Valve Software|Activision,Linux|Macintosh|PC,Tactical|Action|First-Person|Shooter,6 May 2003,8.4
Daylight,Zombie Studios,ATLUS|Arc System Works,PC|PlayStation 4,Action|Adventure|Survival|3D,29 Apr 2014,4.0
Daytona USA Championship Circuit Edition,Sega,Sega|Tec Toy|Samsung,Saturn,Driving/Racing|Arcade,25 Nov 1996,7.6
Daytona USA Deluxe,Sega,Sega,PC,Driving/Racing|Simulation,31 Oct 1997,7.0
Daytona USA,Sega|Amusement Vision|Sega AM2,Sega|Tec Toy|Expert Software|Samsung,Arcade Games|Dreamcast|PC|Saturn,Arcade|Driving/Racing,1994,7.9
DC Universe Online,WBIE,Sony Online Entertainment|Daybreak Games,PC|PlayStation 3|PlayStation 4|Xbox One,Role-Playing|MMO,11 Jan 2011,7.6
DDRMAX: Dance Dance Revolution,KCET,Konami,PlayStation 2,Music/Rhythm,28 Oct 2002,8.3
DDRMAX2: Dance Dance Revolution,Konami,Konami,PlayStation 2,Music/Rhythm,23 Sep 2003,8.4
de Blob 2,Halfbrick Studios|Blue Tongue Entertainment,THQ|THQ Nordic,DS|PC|PlayStation 3|PlayStation 4|Wii|Xbox 360|Xbox One,3D|Action|Platformer,22 Feb 2011,7.5
de Blob,Universomo|Blue Tongue Entertainment|Utrecht School of the Arts|THQ Nordic,THQ Wireless|THQ Nordic|Banana Games|THQ,BlackBerry|iOS (iPhone/iPad)|Nintendo Switch|PC|PlayStation 4|Wii|Xbox One,Platformer|3D|Action,June 2006,7.9
Dead Block,Candygun Games,Kalypso|Candygun Games|SCEI|Digital Reality|Namco Bandai Games,PC|PlayStation 3|Xbox 360,Strategy,6 Jul 2011,6.4
Dead by Daylight,Behaviour Interactive|505 Games|Behavior Studios,Behaviour Interactive|Starbreeze|505 Games|Starbreeze publishing AB,PC|PlayStation 4|Xbox One,Adventure|Survival|3D|Action,14 Jun 2016,6.7
Dead Head Fred,Vicious Cycle,D3Publisher|Namco Bandai Games,PSP,3D|Action|Adventure|Survival,28 Aug 2007,7.9
Dead in the Water,Player 1,ASC Games,PlayStation,Simulation,28 Feb 1999,6.7
Dead Island: Riptide,Techland,Deep Silver|CyberFront|Spike Chunsoft,Linux|PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Shooter|3D|Action|First-Person,22 Apr 2013,6.8
Dead Island,Techland,Deep Silver|Auran|Zoo Corporation|Spike|Spike Chunsoft,Linux|Macintosh|PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Action|3D|Adventure|Survival,5 Sep 2011,7.7
Dead Man's Hand,Human Head Studios,Atari SA|Sold Out Software,PC|Xbox,Action|First-Person|Shooter|3D,3 Mar 2004,6.9
Dead Moon,Zap,TSS|Natsume|Turbo Technologies|Inc.,TurboGrafx-16,Shoot-'Em-Up|Action|2D,1992,6.9
Dead Nation,Housemarque,SCEE|SCEA|SCE Australia|SCEI,PlayStation 3|PlayStation 4|PlayStation Vita,Shooter|2D|Action|Fixed-Screen,30 Nov 2010,7.8
Dead or Alive,Team Ninja,Tecmo|SCEE,Arcade Games|PlayStation|Saturn,3D|Action|Fighting,1996,7.7
Dead or Alive 2,Team Ninja,Tecmo|Acclaim,Arcade Games|Dreamcast|PlayStation 2,3D|Action|Fighting,29 Feb 2000,8.4
Dead or Alive 3,Team Ninja,Microsoft Game Studios|Tecmo,Xbox,Action|3D|Fighting,14 Nov 2001,8.3
Dead or Alive 4,Team Ninja,Tecmo,Xbox 360,Action|3D|Fighting,29 Dec 2005,8.5
Dead or Alive 5,Team Ninja,Koei Tecmo Games|TECMO KOEI GAMES CO.|LTD.,Arcade Games|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Xbox 360|Xbox One,3D|Action|Fighting,25 Sep 2012,8.1
Dead or Alive: Dimensions,Team Ninja,Koei|Koei Tecmo Games|TECMO KOEI GAMES CO.|LTD.,3DS,3D|Fighting|Action,24 May 2011,8.3
Dead or Alive Ultimate,Team Ninja,Tecmo|Microsoft Game Studios,Xbox,Compilation,26 Oct 2004,8.9
Dead or Alive Xtreme 2,Team Ninja,Tecmo,Xbox 360,Sports,13 Nov 2006,7.1
Dead or Alive: Xtreme Beach Volleyball,Team Ninja,Tecmo|Microsoft Game Studios,Xbox,Sports|Team-Based,22 Jan 2003,7.6
Dead Reefs,Streko-Graphics Inc.,DreamCatcher Interactive,PC,Adventure,3 Jul 2007,5.7
Dead Rising 2: Case West,Blue Castle Games,Capcom,Xbox 360,3D|Action|Adventure|Survival,27 Dec 2010,8.0
Dead Rising 2: Case Zero,Blue Castle Games,Capcom,Xbox 360,Adventure|Survival|3D|Action,31 Aug 2010,8.2
Dead Rising 2: Off the Record,Capcom Vancouver|Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Adventure|Action,11 Oct 2011,7.4
Dead Rising 2,Blue Castle Games,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Action|Adventure,27 Sep 2010,7.9
Dead Rising 3,Capcom Vancouver,Capcom|Microsoft Game Studios,PC|Xbox One,Action|Adventure,22 Nov 2013,7.4
Dead Rising 4,Capcom Vancouver,Capcom|Microsoft Game Studios,PC|PlayStation 4|Xbox One,Adventure|Action,6 Dec 2016,6.6
Dead Rising: Chop Till You Drop,TOSE,Capcom,Wii,Adventure|Survival|3D|Action,24 Feb 2009,7.3
Dead Space 2,Visceral Games,Electronic Arts|EA Games,PC|PlayStation 3|Xbox 360,Action|Shooter|Third-Person|3D,25 Jan 2011,8.8
Dead Space 3,Visceral Games,Electronic Arts,PC|PlayStation 3|Xbox 360,Adventure|Action,5 Feb 2013,7.9
Dead Space: Extraction,Visceral Games|Eurocom Entertainment Software,Electronic Arts,PlayStation 3|Wii,Shooter|Light-Gun|Action,29 Sep 2009,8.0
Dead Space Ignition,Sumo Digital,Electronic Arts,PlayStation 3|Xbox 360,Puzzle|Action,12 Oct 2010,4.6
Dead Space,Iron Monkey|EA Redwood Shores,Electronic Arts|EA Games,Android|BlackBerry|iOS (iPhone/iPad)|PC|PlayStation 3|Xbox 360,Action|Shooter|Third-Person|3D,13 Oct 2008,8.8
Dead Star,Armature Studio,Armature Studio,PC|PlayStation 4,Shooter|2D|Action|Fixed-Screen,14 Dec 2015,7.0
Dead to Rights II,Namco|WideScreen Games,Namco|Electronic Arts,PC|PlayStation 2|Xbox,Action|Shooter|Third-Person|3D,12 Apr 2005,6.9
Dead to Rights: Reckoning,Rebellion,Electronic Arts|Namco,PSP,Third-Person|3D|Action|Shooter,28 Jun 2005,6.3
Dead to Rights: Retribution,Volatile Games,Namco Bandai Games|Bandai Namco Games,PlayStation 3|Xbox 360,Action|Shooter|Third-Person|3D,27 Apr 2010,7.6
Dead to Rights,Torus Games|Namco,Zoo Digital Publishing|Namco|Electronic Arts|Hip Games|Bandai Namco Games,Game Boy Advance|GameCube|PC|PlayStation 2|Xbox,Shooter|Third-Person|3D|Action,19 Aug 2002,7.2
Deadfall Adventures,The Farm 51,Nordic Games Publishing|Intergrow,Linux|PC|Xbox 360,First-Person|Shooter|3D|Action,20 Sep 2013,6.8
Deadliest Catch: Alaskan Storm,Liquid Dragon Studios,Navarre Corp,PC|Xbox 360,Hunting/Fishing|Sports,17 Jun 2008,6.3
Deadliest Catch: Sea of Chaos,Crave,Crave,PlayStation 3|Wii|Xbox 360,Hunting/Fishing|Sports,29 Nov 2010,4.2
Deadliest Warrior: Legends,Pipeworks Software|Inc.,Spike Games|Spike|345 Games,PlayStation 3|Xbox 360,Fighting|3D|Action,6 Jul 2011,6.4
Deadliest Warrior: The Game,Pipeworks Software|Inc.,Pipeworks Software|Inc.|Spike,PlayStation 3|Xbox 360,3D|Action|Fighting,14 Jul 2010,6.9
Deadlight,Tequila Works,Microsoft Game Studios|Deep Silver|Koch Media,PC|PlayStation 4|Xbox 360|Xbox One,2D|Action|Platformer,1 Aug 2012,7.2
Deadlock II: Shrine Wars,Cyberlore Studios,Night Dive Studios|Accolade,PC,Turn-Based|Strategy,28 Feb 1998,7.7
Deadlock: Planetary Conquest,Lion Entertainment|Inc.|Accolade,GT Interactive|MacSoft|Night Dive Studios|Accolade,Macintosh|PC,Turn-Based|Strategy,31 Jul 1996,7.9
Deadly Arts,Konami Computer Entertainment Osaka,Konami,Nintendo 64,Action|Fighting|3D,7 Oct 1998,4.9
Deadly Creatures,Rainbow Studios,THQ,Wii,3D|Action|Platformer,9 Feb 2009,7.6
Deadly Dozen: Pacific Theater,Nfusion,Infogrames|Atari SA,PC,Action|First-Person|Shooter|Tactical,31 Oct 2002,7.9
Deadly Dozen,Nfusion,Retroism|Infogrames,PC,Tactical|Third-Person|Action|Shooter,31 Oct 2001,7.2
Deadly Premonition,Access Games,Mastertronic|Rising Star Games|Marvelous|TOYBOX|Marvelous AQL|Ignition Entertainment|Xseed Games,PC|PlayStation 3|Xbox 360,Action|Adventure,17 Feb 2010,7.6
Deadly Tide,Rainbow Studios,Microsoft Game Studios,PC,Action,31 Oct 1996,7.4
Deadpool,High Moon Studios,Activision,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Action|3D|Beat-'Em-Up,25 Jun 2013,7.4
Deal or No Deal,Vimukti Technologies Pvt Ltd|Artefacts Studio|Imagination Entertainment Limited|Gravity-I|Global Star Software,Vimukti Technologies Pvt Ltd|Koch Media|Destination Software|Mindscape Inc.|Channel 4|Imagination Entertainment Limited|Focus Multimedia|2K Play|Global Star Software,BlackBerry|DS|DVD Player|Game Boy Advance|PC|Wii,Trivia/Board Game,6 Nov 2006,5.4
Dear Esther,The Chinese Room,The Chinese Room|Curve Digital Games|Limited Run Games,Linux|Macintosh|PC|PlayStation 4,3D|Adventure|First-Person,14 Feb 2012,7.1
Death By Cube,Premium Agency,Square Enix,Xbox 360,Adventure,20 Jan 2010,6.8
Death by Degrees,Namco,Namco|SCEE|SCE Korea,PlayStation 2,Action|Adventure,8 Feb 2005,6.8
Death Crimson OX,Ecole,Ecole|Sammy Studios|Play It,Dreamcast|PlayStation 2,Shooter|Action|Light-Gun,5 Aug 2001,5.5
Death Jr. and the Science Fair of Doom,Foundation 9 Entertainment,Konami,DS,3D|Platformer|Action,22 May 2007,6.2
Death Jr. II: Root of Evil,Backbone Entertainment,Konami,PSP,Action|3D|Platformer,31 Oct 2006,7.8
Death Jr.: Root of Evil,Backbone Entertainment,Eidos Interactive,Wii,Action|Platformer|3D,27 May 2008,6.9
Death Jr.,Backbone Entertainment,Konami,PSP,3D|Platformer|Action,16 Aug 2005,7.2
Death Rally,Remedy Entertainment,3D Realms|GT Interactive|Nordic Games Publishing,Macintosh|PC,Arcade|Driving/Racing,31 Dec 1997,8.8
Death Tank,Snowblind Studios,Microsoft Game Studios,Xbox 360,Turn-Based|Strategy,18 Feb 2009,7.0
Death to Spies: Moment of Truth,Haggard Games,1C,PC,Action|Adventure,7 Aug 2009,7.2
Death to Spies,Haggard Games,Atari SA|1C|Nobilis,PC,Adventure|Action,16 Oct 2007,6.9
Death Track: Resurrection,Sky Fallen|Gaijin Entertainment,Excalibur Publishing Limited|1C|Aspyr|Gaijin Entertainment,PC|PlayStation 3,Arcade|Driving/Racing,31 Mar 2009,6.1
DeathDrome,Zipper Interactive,Viacom New Media,PC,Simulation,31 Oct 1996,8.0
Deathrow,Southend Interactive,Ubisoft,Xbox,Sports,22 Oct 2002,8.4
DeathSmiles,Cave,G-Gee|AMI|Cave|Degica|Aksys Games|Rising Star Games,Android|Arcade Games|iOS (iPhone/iPad)|PC|Xbox 360,Action|Shoot-'Em-Up|2D,29 Jun 2010,8.0
DeathSpank: Thongs of Virtue,Hothead Games,Electronic Arts|EA Partners,Macintosh|PC|PlayStation 3|Xbox 360,Action|Role-Playing,21 Sep 2010,8.0
DeathSpank,Hothead Games,Hothead Games|EA Partners|Electronic Arts,Macintosh|PC|PlayStation 3|Xbox 360,Role-Playing|Action,13 Jul 2010,8.2
Deathtrap Dungeon,Asylum Studios,Eidos Interactive|Sold Out Software|Square Enix,PC|PlayStation,Adventure|Action,31 Mar 1998,5.7
Deca Sports 2,CAProduction,Hudson,Wii,Sports,29 Sep 2009,6.2
Deca Sports Extreme,Hudson Soft,Konami|Hudson,3DS,Sports,13 Sep 2011,2.7
Deca Sports Freedom,AI,Hudson Entertainment,Xbox 360,Sports,18 Nov 2010,4.1
Deca Sports,Hudson Soft|CAProduction,Konami|Hudson Entertainment|Hudson,DS|Wii,Sports,13 May 2008,4.8
Deception III: Dark Delusion,Tecmo,Tecmo,PlayStation,Strategy,1 Mar 2000,8.2
Deep Fighter,Criterion Games,Ubisoft,Dreamcast|PC,Simulation,22 Aug 2000,7.5
Deep Labyrinth,Interactive Brains,ATLUS|505 Game Street|Interactive Brains,DS|Mobile,Role-Playing|Action,15 Aug 2006,6.8
Deep Raider,Cyberscape Graphics,InfoBank,PC,Action,24 Oct 2000,6.6
Deer Hunt Challenge,EA Seattle,Electronic Arts,PC,Sports|Hunting/Fishing,21 Oct 1999,6.7
Deer Hunter 2005,Southlogic Studios,Atari SA,PC,Hunting/Fishing|Sports,28 Sep 2004,8.5
Deer Hunter 3 Gold,Sunstorm Interactive,WizardWorks,PC,Sports|Hunting/Fishing,29 Feb 2000,7.2
Deer Hunter 5: Tracking Trophies,Sunstorm Interactive,WizardWorks,PC,Sports|Hunting/Fishing,29 Aug 2001,6.6
Deer Hunter II,Sunstorm Interactive,WizardWorks,PC,Hunting/Fishing|Sports,31 Oct 1998,6.0
Deer Hunter,Morning Star Multimedia|Sunstorm Interactive|Coresoft,Vatical Entertainment|MacSoft|WizardWorks|Atari SA,Game Boy Color|Macintosh|PC|PlayStation 2,Hunting/Fishing|Sports,31 Dec 1998,6.8
Def Jam: Fight for NY,Aki Corp.,EA Games|Electronic Arts,GameCube|PlayStation 2|PSP|Xbox,Action|3D|Fighting,20 Sep 2004,8.9
Def Jam: Icon,EA Chicago,EA Games|Electronic Arts,PlayStation 3|Xbox 360,Action|3D|Fighting,6 Mar 2007,7.2
Def Jam Rapstar,4mm Games|Terminal Reality,Konami,PlayStation 3|Wii|Xbox 360,Music/Rhythm,5 Oct 2010,6.8
Def Jam Vendetta,Aki Corp.,EA Sports Big|EA Games,GameCube|PlayStation 2,Action|Wrestling|Fighting,31 Mar 2003,8.2
DEFCON: Everybody Dies,Introversion,Introversion|Ambrosia|Encore Software|Inc.|Pinnacle,Linux|Macintosh|PC,Strategy|Real-Time,29 Sep 2006,8.3
Defend Your Castle,XGenStudios,XGenStudios,iOS (iPhone/iPad)|PC|Wii,Strategy|Real-Time,12 May 2008,7.1
Defender (2002),Inevitable Entertainment|Lavastorm|7 Studios|Digital Eclipse,Midway|THQ Wireless,GameCube|Mobile|PlayStation 2|Xbox|Xbox 360,Third-Person|3D|Action|Shooter,22 Oct 2002,6.5
Defender of the Crown: Heroes Live Forever,eGames,eGames,PC,Strategy|Turn-Based,26 Jun 2007,3.4
Defender of the Crown,Crawfish Interactive,Metro3D|Zoo Digital Publishing,Game Boy Advance,Strategy|Turn-Based,7 Oct 2002,6.8
Defenders of Time,Fourlights,Fourlights,Macintosh|PC,Strategy|Real-Time,4 Nov 2014,7.0
Defense Grid: The Awakening,Hidden Path Entertainment,Virtual Programming|Hidden Path Entertainment|Aspyr|Microsoft Game Studios,Macintosh|PC|Xbox 360,Real-Time|Strategy,8 Dec 2008,8.3
Oasis,Mind Control Software,Mind Control Software|PlayFirst,iOS (iPhone/iPad)|Macintosh|PC,Turn-Based|Strategy,12 Apr 2005,7.9
Defiance (1997),Intrepid Software Solutions|Inc.,Visceral Productions,PC,Action,31 Oct 1997,6.4
Defiance,Trion Worlds,Trion Worlds,PC|PlayStation 3|Xbox 360,3D|Action|Shooter|Third-Person,2 Apr 2013,7.3
Delta Force 2,NovaLogic,NovaLogic,PC,Tactical|Action|First-Person|Shooter,31 Oct 1999,7.9
Delta Force: Black Hawk Down - Team Sabre,Ritual Entertainment|Rebellion,MicroMouse|NovaLogic|Ubisoft,PC|PlayStation 2,Tactical|Action|First-Person|Shooter,20 Jan 2004,7.5
Delta Force: Black Hawk Down,NovaLogic|Rebellion|Climax Group,Aspyr|NovaLogic|Electronic Arts|White Label,Macintosh|PC|PlayStation 2|Xbox,Tactical|Action|First-Person|Shooter,23 Mar 2003,7.3
Delta Force: Land Warrior,NovaLogic,NovaLogic|Electronic Arts,PC,Shooter|Tactical|Action|First-Person,7 Nov 2000,7.5
Delta Force: Task Force Dagger,Zombie Studios,NovaLogic,PC,Tactical|Action|First-Person|Shooter,27 Jun 2002,6.2
Delta Force: Xtreme 2,NovaLogic,NovaLogic,PC,Shooter|Tactical|Action|First-Person,27 May 2009,4.5
Delta Force: Xtreme,NovaLogic,NovaLogic,PC,Shooter|Tactical|Action|First-Person,22 Apr 2005,7.4
Delta Force,NovaLogic,NovaLogic|ak tronic,PC,Tactical|Action|First-Person|Shooter,30 Sep 1998,8.4
Delta Ops: Army Special Forces,FUN Labs,Activision Value|Empire Interactive,PC,3D|Shooter|Team-Based|First-Person|Action,2 Jul 2003,4.8
Dementium II,Renegade Kid|Memetic Games,Renegade Kid|SouthPeak Games|Intergrow|Digital Tribe,3DS|DS|Macintosh|PC,3D|Action|Adventure|Survival,4 May 2010,8.0
Dementium: The Ward,Renegade Kid,Renegade Kid|Interchannel-Holon|SouthPeak Games|Gamecock Media Group,3DS|DS,Adventure|Survival|3D|Action,26 Oct 2007,7.7
Demigod,Gas Powered Games,Stardock|ak tronic,PC,Strategy|MOBA,14 Apr 2009,7.3
DemiKids: Dark Version,Multimedia Intelligence Transfer,ATLUS,Game Boy Advance,Role-Playing,7 Oct 2003,7.4
DemiKids: Light Version,Multimedia Intelligence Transfer,ATLUS,Game Boy Advance,Role-Playing,6 Oct 2003,7.9
Demise: Rise of the Ku'Tan,Artifact Entertainment,IPC Software,PC,Role-Playing,31 Dec 1999,7.1
Demolition Derby and Figure 8 Race,Auxiliary Power,eGames,PC,Arcade|Driving/Racing,31 Aug 2002,6.4
Demolition Racer,Pitbull Syndicate,Infogrames,Dreamcast|PC|PlayStation,Arcade|Driving/Racing,31 Aug 1999,8.0
Demon Gaze,Experience Inc.,NIS America|Kadokawa Shoten,PlayStation Vita,Role-Playing,22 Apr 2014,7.2
Demon's Souls,From Software,SCEI|Bandai Namco Games|Namco Bandai Games|ATLUS,PlayStation 3,Action|Role-Playing,6 Oct 2009,8.9
Demonstar,Mountain King Studios,Mountain King Studios,PC,Action,31 Dec 1998,7.3
Demonworld: Dark Armies,Ikarion,Xicat Interactive,PC,Real-Time|Strategy,13 Jan 2002,4.2
Deponia,Daedalic Entertainment,Daedalic Entertainment|Lace Mamba Global|THQ Nordic,iOS (iPhone/iPad)|Linux|Macintosh|PC|PlayStation 4,Adventure,6 Aug 2012,7.6
Derrick the Deathfin,Different Tuna,Different Tuna,Linux|Macintosh|PC|PlayStation 3,Driving/Racing|Arcade,9 Oct 2012,7.6
Descent 3,Outrage Games,Graphic Simulations|Virgin Interactive|Interplay,Macintosh|PC,Action|First-Person|Shooter|3D,1999,8.6
Descent: Freespace - The Great War,Hyperion Entertainment|Volition Inc.,Hyperion Entertainment|Interplay,Amiga|PC,Simulation,31 May 1998,9.0
Descent II,Parallax Software|Interplay,Interplay|Mac Play,Acorn Archimedes|Macintosh|PC,Shooter|3D|Action|First-Person,29 Feb 1996,8.7
Descent Maximum,Parallax Software,Interplay,PlayStation,Shooter|3D|Action|First-Person,30 Apr 1997,6.9
Descent to Undermountain,Interplay,Interplay,PC,Role-Playing,30 Sep 1997,4.2
Descent,Parallax Software|Interplay,Interplay|Mac Play|Soft Bank,Acorn Archimedes|Macintosh|PC|PlayStation,3D|Action|First-Person|Shooter,28 Feb 1995,8.2
Desert Thunder,Brainbox Games,Groove Games|KISS Ltd.,PC,Simulation,18 Nov 2003,5.3
Desperados 2: Cooper's Revenge,Spellbound,Atari SA|GamersGate,PC,Real-Time|Strategy,5 May 2006,7.3
Desperados: Wanted Dead or Alive,Spellbound,Nordic Games Publishing|Infogrames|Sold Out Software,PC,Strategy,23 Jul 2001,8.3
Desperate Housewives: The Game,Liquid Entertainment,Buena Vista Games,PC,Simulation,6 Oct 2006,6.2
Despicable Me: The Game,WayForward|Monkey Bar Games,D3Publisher,DS|PlayStation 2|PSP|Wii,Action,5 Jul 2010,7.0
Destination: Treasure Island,Coladia|Kheops Studio,Coladia|Nobilis|Dreamcatcher,iOS (iPhone/iPad)|Macintosh|PC,Adventure,21 Aug 2007,7.1
Destiny 2,Bungie Software,Activision|Sony Interactive Entertainment,PC|PlayStation 4|Xbox One,3D|Action|First-Person|Shooter,6 Sep 2017,6.0
Destiny,Bungie Software|Activision,Activision|SCEI|Sony Interactive Entertainment,PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Shooter|First-Person|3D|Role-Playing|Action,9 Sep 2014,6.8
Destrega,Omega Force,Koei|SCEE,PlayStation,Fighting|Action|3D,31 Jan 1999,8.0
Destroy All Humans! 2,Pandemic Studios,THQ|Nordic Games Publishing,PlayStation 2|PlayStation 4|Xbox,Action|Adventure,17 Oct 2006,8.4
Destroy All Humans! Big Willy Unleashed,Locomotive Games,THQ,Wii,Adventure|Action,25 Feb 2008,6.7
Destroy All Humans! Path of the Furon,Sandblast,THQ,Xbox 360,Adventure|Action,1 Dec 2008,7.0
Destroy All Humans!,Big Blue Bubble Inc.|Pandemic Studios,THQ|Sega|Nordic Games Publishing,Mobile|PlayStation 2|PlayStation 4|Xbox,Action|Adventure,30 May 2005,8.3
Destroyer Command,Ultimation Inc.,Dice Multi Media|Ubisoft,PC,Simulation,17 Feb 2002,6.4
Destruction Derby 2,Reflections Interactive,Psygnosis|SCEI|SCEA,PC|PlayStation,Arcade|Driving/Racing,31 Oct 1996,7.7
Destruction Derby Arenas,Studio 33,Gathering|SCEE,PlayStation 2,Driving/Racing|Arcade,1 Apr 2004,7.0
Destruction Derby Raw,Studio 33,SCEE|Midway,PlayStation,Driving/Racing|Arcade,26 Sep 2000,8.0
Destruction Derby,Looking Glass Studios|Reflections Interactive,THQ|Psygnosis|SCEI|Soft Bank,Nintendo 64|PC|PlayStation|Saturn,Driving/Racing|Arcade,31 Oct 1995,7.6
Dethkarz,Beam Software,Melbourne House,PC,Arcade|Driving/Racing,31 Oct 1998,7.7
Deus Ex: Human Revolution - Director's Cut,Eidos Montreal|Straight Right,Feral Interactive|Square Enix,Macintosh|PC|PlayStation 3|Wii U|Xbox 360,Action|Adventure,22 Oct 2013,8.2
