,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
2097,a2098,Dungeons 2,Kalypso,Kalypso|H2 Interactive Co.|Ltd.,Linux|Macintosh|PC|PlayStation 4,Strategy,24 Apr 2015,6.9,2015-04-24
2098,a2099,Dungeons & Dragons: Chronicles of Mystara,Iron Galaxy Studios|Capcom,Capcom,PC|PlayStation 3|Saturn|Wii U|Xbox 360,Compilation,18 Jun 2013,7.5,2013-06-18
2099,a2100,Dungeons & Dragons: Daggerdale,Bedlam Games|Atari SA,Atari SA,PC|PlayStation 3|Xbox 360,Action|Role-Playing,25 May 2011,5.6,2011-05-25
2100,a2101,Dungeons & Dragons: Eye of the Beholder,Pronto Games,Infogrames,Game Boy Advance,Role-Playing,30 Oct 2002,5.3,2002-10-30
2101,a2102,Dungeons & Dragons Heroes,Atari SA,Atari SA,Xbox,Action|Role-Playing,17 Sep 2003,7.6,2003-09-17
2102,a2103,Dungeons & Dragons Online,Turbine Inc.,Warner Bros. Interactive Entertainment|Codemasters|Atari SA|Turbine Inc.,Macintosh|PC,MMO|Role-Playing,28 Feb 2006,7.6,2006-02-28
2103,a2104,Dungeons & Dragons Tactics,Kuju Entertainment,Atari SA,PSP,Turn-Based|Strategy,14 Aug 2007,7.4,2007-08-14
2104,a2105,Dungeons,Realmforge Studios,Kalypso|E-Frontier,PC,Strategy,10 Feb 2011,5.0,2011-02-10
2105,a2106,DUST 514,CCP,CCP,PlayStation 3,Shooter|3D|Action|First-Person,14 May 2013,6.3,2013-05-14
2106,a2107,Dust: A Tale of the Wired West,Cyberflix/GTE Entertainment,BMG Interactive Entertainment|GTE Entertainment,PC,Adventure,30 Jun 1995,7.9,1995-06-30
2107,a2108,Dust: An Elysian Tail,Humble Hearts,Humble Hearts|Microsoft Game Studios|IndieBox|Inc.,iOS (iPhone/iPad)|Linux|Macintosh|PC|PlayStation 4|Xbox 360,Action|Role-Playing,15 Aug 2012,8.2,2012-08-15
2108,a2109,Dustforce,Hitbox|QLOC,Hitbox|Capcom,Linux|Macintosh|PC|PlayStation 3|PlayStation Vita|Xbox 360,2D|Platformer|Action,17 Jan 2012,7.5,2012-01-17
2109,a2110,Dyad (2012),Right Square Bracket Left Square Bracket Games,Right Square Bracket Left Square Bracket Games|SCEA|SCEE,PC|PlayStation 3,Driving/Racing|Arcade,17 Jul 2012,7.5,2012-07-17
2110,a2111,Dying Light,Techland,Techland|Warner Bros. Interactive Entertainment,Linux|Macintosh|PC|PlayStation 4|Xbox One,Action|Survival|Adventure|3D,27 Jan 2015,8.1,2015-01-27
2111,a2112,Dynamite Cop!,Sega,Sega,Arcade Games|Dreamcast,Beat-'Em-Up|Action|3D,1998,7.3,1998-01-01
2112,a2113,Dynamite Headdy,Minato Giken|Treasure|Sega,Sega|Tec Toy,GameGear|Genesis|PC|Sega Master System,Platformer|Action|2D,4 Aug 1994,8.0,1994-08-04
2113,a2114,Dynasty Tactics 2,Koei,Koei|SCEA,PlayStation 2,Turn-Based|Strategy,23 Sep 2003,8.4,2003-09-23
2114,a2115,Dynasty Tactics,Koei,Koei,PlayStation 2,Strategy|Turn-Based,17 Sep 2002,8.1,2002-09-17
2115,a2116,Dynasty Warriors 2,Omega Force,Koei|Koei Tecmo Games|THQ,PlayStation 2,3D|Beat-'Em-Up|Action,25 Oct 2000,7.9,2000-10-25
2116,a2117,Dynasty Warriors 3: Xtreme Legends,Omega Force,Koei,PlayStation 2,3D|Beat-'Em-Up|Action,11 Jan 2003,8.1,2003-01-11
2117,a2118,Dynasty Warriors 3,Omega Force,Koei|THQ|Koei Tecmo Games,PlayStation 2|Xbox,Action|3D|Beat-'Em-Up,26 Nov 2001,8.2,2001-11-26
2118,a2119,Dynasty Warriors 4: Empires,Omega Force,Koei|Koei Tecmo Games,PlayStation 2,3D|Beat-'Em-Up|Action,31 Aug 2004,8.3,2004-08-31
2119,a2120,Dynasty Warriors 4: Xtreme Legends,Omega Force,Koei,PlayStation 2,Action|3D|Beat-'Em-Up,4 Nov 2003,8.2,2003-11-04
