,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
6344,b6345,Sorcery! 2,inkle,,Android|iOS|PC,Adventure,2014,7.4,2014-01-01
6345,b6346,Sorcery! Parts 1 & 2,Inkle,Inkle,PC,Adventure|Role-Playing,02 February 2016,6.0,2016-02-02
6346,b6347,Sorcery Saga: Curse of the Great Curry God,Compile Heart|ZeroDiv,Aksys Games,PlayStation Vita,Role-Playing,10 December 2013,7.0,2013-12-10
6347,b6348,SoulCalibur II,Namco,Namco,Nintendo GameCube|PlayStation 2|PlayStation 3|Xbox|Xbox 360,Fighting,27 August 2003,8.2,2003-08-27
6348,b6349,Soul Blade,Project Soul,Namco,Arcade|PlayStation,Fighting,January 1997,7.8,1997-01-01
6349,b6350,Soul Blazer,Quintet,Enix,Emulated|Super Nintendo,Action RPG,27 November 1992,8.1,1992-11-27
6350,b6351,Soul Gambler,,Mother Gaia Studio,PC,Role-Playing,01 August 2013,6.0,2013-08-01
6351,b6352,Soul Nomad & the World Eaters,Nippon Ichi,NIS America|Koei,PlayStation 2,Tactical role-playing,25 September 2007,8.3,2007-09-25
6352,b6353,Soul Sacrifice,Marvelous AQL|SCE Japan Studio,Sony Computer Entertainment Japan,PlayStation Vita,Action|Adventure|Role-Playing,30 April 2013,7.4,2013-04-30
6353,b6354,Soul Sacrifice Delta,SCE Japan Studio Comcept,Sony Computer Entertainment,PlayStation Vita,Action|Adventure,13 May 2014,8.5,2014-05-13
6354,b6355,Soulcalibur,Namco|Namco Bandai (XBLA),Namco,Dreamcast|PlayStation|Xbox 360|Xbox One,Third-Person|Real-Time|Fighting,09 September 1999,8.5,1999-09-09
6355,b6356,Soulcalibur: Broken Destiny,Project Soul,Namco Bandai,PSP,Fighting,01 September 2009,6.0,2009-09-01
6356,b6357,Soulcalibur III,Project Soul,Namco|Sony Computer Entertainment (Europe),PlayStation 2|PlayStation 3,Fighting,25 October 2005,7.8,2005-10-25
6357,b6358,Soulcalibur IV,Project Soul,Namco Bandai|Ubisoft (Europe),PlayStation 2|PlayStation 3|Xbox 360,Fighting,29 July 2008,7.6,2008-07-29
6358,b6359,Soulcalibur Legends,Project Soul,Namco Bandai,Wii,Action-adventure,20 November 2007,5.7,2007-11-20
6359,b6360,Soulcalibur V,Project Soul,Namco Bandai Games|Ubisoft,PlayStation 3|Xbox 360,Fighting,31 January 2012,7.4,2012-01-31
6360,b6361,Soulcaster,MagicalTimeBean,,PC,Action|Adventure,01 March 2010,6.3,2010-03-01
6361,b6362,Sound Shapes,Queasy Games|SCE Santa Monica Studio,Sony Computer Entertainment,PlayStation 3|PlayStation 4|PlayStation Vita,Music|Platformer,07 August 2012,7.5,2012-08-07
6362,b6363,Sound of Drop: Fall Into Poison,AiueoKompany,Sekai Project,Linux|PC,Visual Novel,30 October 2015,5.4,2015-10-30
6363,b6364,Soundodger+,,,PC,Music/Rhythm|Puzzle,October 2013,6.7,2013-10-01
